annais,sexe,preusuel,rank
1900,1,JEAN,1.0
1900,1,LOUIS,2.0
1900,1,PIERRE,3.0
1900,1,JOSEPH,4.0
1900,1,HENRI,5.0
1900,1,MARCEL,6.0
1900,1,GEORGES,7.0
1900,1,ANDRÉ,8.0
1900,1,PAUL,9.0
1900,1,RENÉ,10.0
1900,2,MARIE,1.0
1900,2,JEANNE,2.0
1900,2,MARGUERITE,3.0
1900,2,GERMAINE,4.0
1900,2,LOUISE,5.0
1900,2,YVONNE,6.0
1900,2,MADELEINE,7.0
1900,2,SUZANNE,8.0
1900,2,MARTHE,9.0
1900,2,MARCELLE,10.0
1901,1,JEAN,1.0
1901,1,LOUIS,2.0
1901,1,PIERRE,3.0
1901,1,JOSEPH,4.0
1901,1,MARCEL,5.0
1901,1,HENRI,6.0
1901,1,ANDRÉ,7.0
1901,1,GEORGES,8.0
1901,1,RENÉ,9.0
1901,1,PAUL,10.0
1901,2,MARIE,1.0
1901,2,JEANNE,2.0
1901,2,MARGUERITE,3.0
1901,2,GERMAINE,4.0
1901,2,LOUISE,5.0
1901,2,YVONNE,6.0
1901,2,MADELEINE,7.0
1901,2,SUZANNE,8.0
1901,2,MARCELLE,9.0
1901,2,MARTHE,10.0
1902,1,JEAN,1.0
1902,1,LOUIS,2.0
1902,1,PIERRE,3.0
1902,1,MARCEL,4.0
1902,1,HENRI,5.0
1902,1,JOSEPH,6.0
1902,1,GEORGES,7.0
1902,1,ANDRÉ,8.0
1902,1,RENÉ,9.0
1902,1,PAUL,10.0
1902,2,MARIE,1.0
1902,2,JEANNE,2.0
1902,2,MARGUERITE,3.0
1902,2,GERMAINE,4.0
1902,2,LOUISE,5.0
1902,2,MADELEINE,6.0
1902,2,YVONNE,7.0
1902,2,SUZANNE,8.0
1902,2,MARCELLE,9.0
1902,2,MARTHE,10.0
1903,1,JEAN,1.0
1903,1,LOUIS,2.0
1903,1,PIERRE,3.0
1903,1,MARCEL,4.0
1903,1,HENRI,5.0
1903,1,JOSEPH,6.0
1903,1,ANDRÉ,7.0
1903,1,GEORGES,8.0
1903,1,RENÉ,9.0
1903,1,PAUL,10.0
1903,2,MARIE,1.0
1903,2,JEANNE,2.0
1903,2,MARGUERITE,3.0
1903,2,GERMAINE,4.0
1903,2,LOUISE,5.0
1903,2,MADELEINE,6.0
1903,2,YVONNE,7.0
1903,2,SUZANNE,8.0
1903,2,MARCELLE,9.0
1903,2,MARTHE,10.0
1904,1,JEAN,1.0
1904,1,LOUIS,2.0
1904,1,PIERRE,3.0
1904,1,MARCEL,4.0
1904,1,JOSEPH,5.0
1904,1,HENRI,6.0
1904,1,ANDRÉ,7.0
1904,1,GEORGES,8.0
1904,1,RENÉ,9.0
1904,1,PAUL,10.0
1904,2,MARIE,1.0
1904,2,JEANNE,2.0
1904,2,MARGUERITE,3.0
1904,2,GERMAINE,4.0
1904,2,LOUISE,5.0
1904,2,YVONNE,6.0
1904,2,MADELEINE,7.0
1904,2,SUZANNE,8.0
1904,2,MARCELLE,9.0
1904,2,MARTHE,10.0
1905,1,JEAN,1.0
1905,1,LOUIS,2.0
1905,1,PIERRE,3.0
1905,1,MARCEL,4.0
1905,1,ANDRÉ,5.0
1905,1,HENRI,6.0
1905,1,JOSEPH,7.0
1905,1,RENÉ,8.0
1905,1,GEORGES,9.0
1905,1,PAUL,10.0
1905,2,MARIE,1.0
1905,2,JEANNE,2.0
1905,2,MARGUERITE,3.0
1905,2,GERMAINE,4.0
1905,2,YVONNE,5.0
1905,2,LOUISE,6.0
1905,2,MADELEINE,7.0
1905,2,SUZANNE,8.0
1905,2,MARCELLE,9.0
1905,2,MARTHE,10.0
1906,1,JEAN,1.0
1906,1,LOUIS,2.0
1906,1,PIERRE,3.0
1906,1,MARCEL,4.0
1906,1,ANDRÉ,5.0
1906,1,HENRI,6.0
1906,1,JOSEPH,7.0
1906,1,RENÉ,8.0
1906,1,GEORGES,9.0
1906,1,PAUL,10.0
1906,2,MARIE,1.0
1906,2,JEANNE,2.0
1906,2,MARGUERITE,3.0
1906,2,GERMAINE,4.0
1906,2,YVONNE,5.0
1906,2,MADELEINE,6.0
1906,2,SUZANNE,7.0
1906,2,LOUISE,8.0
1906,2,MARCELLE,9.0
1906,2,MARTHE,10.0
1907,1,JEAN,1.0
1907,1,LOUIS,2.0
1907,1,PIERRE,3.0
1907,1,MARCEL,4.0
1907,1,ANDRÉ,5.0
1907,1,HENRI,6.0
1907,1,RENÉ,7.0
1907,1,JOSEPH,8.0
1907,1,GEORGES,9.0
1907,1,PAUL,10.0
1907,2,MARIE,1.0
1907,2,JEANNE,2.0
1907,2,MARGUERITE,3.0
1907,2,GERMAINE,4.0
1907,2,YVONNE,5.0
1907,2,MADELEINE,6.0
1907,2,SUZANNE,7.0
1907,2,LOUISE,8.0
1907,2,MARCELLE,9.0
1907,2,MARTHE,10.0
1908,1,JEAN,1.0
1908,1,LOUIS,2.0
1908,1,MARCEL,3.0
1908,1,PIERRE,4.0
1908,1,ANDRÉ,5.0
1908,1,HENRI,6.0
1908,1,JOSEPH,7.0
1908,1,RENÉ,8.0
1908,1,GEORGES,9.0
1908,1,PAUL,10.0
1908,2,MARIE,1.0
1908,2,JEANNE,2.0
1908,2,MARGUERITE,3.0
1908,2,GERMAINE,4.0
1908,2,MADELEINE,5.0
1908,2,YVONNE,6.0
1908,2,SUZANNE,7.0
1908,2,LOUISE,8.0
1908,2,MARCELLE,9.0
1908,2,MARTHE,10.0
1909,1,JEAN,1.0
1909,1,ANDRÉ,2.0
1909,1,LOUIS,3.0
1909,1,PIERRE,4.0
1909,1,MARCEL,5.0
1909,1,HENRI,6.0
1909,1,RENÉ,7.0
1909,1,JOSEPH,8.0
1909,1,GEORGES,9.0
1909,1,PAUL,10.0
1909,2,MARIE,1.0
1909,2,JEANNE,2.0
1909,2,MARGUERITE,3.0
1909,2,GERMAINE,4.0
1909,2,MADELEINE,5.0
1909,2,YVONNE,6.0
1909,2,SUZANNE,7.0
1909,2,LOUISE,8.0
1909,2,MARCELLE,9.0
1909,2,LUCIENNE,10.0
1910,1,JEAN,1.0
1910,1,ANDRÉ,2.0
1910,1,LOUIS,3.0
1910,1,PIERRE,4.0
1910,1,MARCEL,5.0
1910,1,HENRI,6.0
1910,1,RENÉ,7.0
1910,1,JOSEPH,8.0
1910,1,GEORGES,9.0
1910,1,MAURICE,10.0
1910,2,MARIE,1.0
1910,2,JEANNE,2.0
1910,2,MARGUERITE,3.0
1910,2,MADELEINE,4.0
1910,2,GERMAINE,5.0
1910,2,YVONNE,6.0
1910,2,SUZANNE,7.0
1910,2,LOUISE,8.0
1910,2,MARCELLE,9.0
1910,2,RENÉE,10.0
1911,1,JEAN,1.0
1911,1,ANDRÉ,2.0
1911,1,PIERRE,3.0
1911,1,MARCEL,4.0
1911,1,LOUIS,5.0
1911,1,RENÉ,6.0
1911,1,HENRI,7.0
1911,1,JOSEPH,8.0
1911,1,GEORGES,9.0
1911,1,ROGER,10.0
1911,2,MARIE,1.0
1911,2,JEANNE,2.0
1911,2,MARGUERITE,3.0
1911,2,MADELEINE,4.0
1911,2,YVONNE,5.0
1911,2,SUZANNE,6.0
1911,2,GERMAINE,7.0
1911,2,MARCELLE,8.0
1911,2,LOUISE,9.0
1911,2,RENÉE,10.0
1912,1,JEAN,1.0
1912,1,ANDRÉ,2.0
1912,1,PIERRE,3.0
1912,1,MARCEL,4.0
1912,1,LOUIS,5.0
